417,273.21,NULL,"May3,2024"
418,274.85,NULL,"Apr20,2024"
419,275.88,NULL,"Mar16,2024"
420,868.17,NULL,"May1,2024"
421,872.73,NULL,"May10,2024"
422,886.21,NULL,"Mar16,2024"
423,899.35,NULL,"May15,2024"
424,1006.19,NULL,"Mar16,2024"
425,1016.71,NULL,"Apr6,2024"
426,1810.37,NULL,"Apr19,2024"
427,1844.03,NULL,"May10,2024"
428,2104.29,NULL,"Apr20,2024"
429,2188.48,NULL,"May10,2024"
430,211.31,NULL,"May3,2024"
431,505.29,NULL,"May10,2024"
432,6.37,1.8,"May3,2024"
433,6.28,1.5,"May10,2024"
434,6.26,1.7,"May3,2024"
435,6.17,1.6,"May3,2024"
436,6.13,0.3,"May1,2024"
437,6.12,0.6,"Apr20,2024"
438,6.02,1.2,"Apr20,2024"
439,6.01,1.8,"May10,2024"
440,6.0,0.4,"May1,2024"
441,5.98,1.4,"May3,2024"
442,5.93,0.5,"Mar16,2024"
443,5.9,+0.0,"Apr24,2024"
444,5.88,+0.0,"Apr24,2024"
445,5.87,1.6,"Apr20,2024"
446,5.83,1.5,"Mar16,2024"
447,5.81,1.5,"Apr20,2024"
448,5.8,1.1,"Apr20,2024"
449,5.76,1.4,"Apr20,2024"
450,5.75,+0.0,"May1,2024"
451,5.73,+0.0,"Apr24,2024"
452,4.59,0.6,"Mar16,2024"
453,13.87,1.7,"May10,2024"
454,13.26,-0.8,"May1,2024"
455,13.16,-0.9,"May10,2024"
456,13.12,0.7,"May10,2024"
457,12.87,0.5,"May3,2024"
458,12.65,-0.1,"Apr25,2024"
459,12.62,+0.0,"May10,2024"
460,12.51,+0.0,"Apr25,2024"
461,12.33,+0.0,"Mar16,2024"
462,7.88,NULL,"May3,2024"
463,7.85,NULL,"May3,2024"
464,7.79,NULL,"May3,2024"
465,6.83,NULL,"Feb10,2024"
466,7.37,NULL,"Feb10,2024"
467,7.43,NULL,"Jan20,2024"
468,7.46,NULL,"Feb3,2024"
469,7.53,NULL,"Jan26,2024"
470,7.82,NULL,"Feb3,2024"
471,7.85,NULL,"Feb3,2024"
472,7.87,NULL,"Jan26,2024"
473,7.87,NULL,"Jan20,2024"
474,7.89,NULL,"Jan26,2024"
475,8.01,NULL,"Jan20,2024"
476,8.06,NULL,"Feb3,2024"
477,8.09,NULL,"Jan12,2024"
478,8.2,NULL,"Jan26,2024"
479,8.2,NULL,"Feb3,2024"
480,8.22,NULL,"Jan12,2024"
481,8.47,NULL,"Jan20,2024"
482,25.19,NULL,"Jan26,2024"
483,25.25,NULL,"Jan26,2024"
484,25.36,NULL,"Feb3,2024"
485,25.96,NULL,"Feb3,2024"
486,25.98,NULL,"Feb10,2024"
487,26.16,NULL,"Jan20,2024"
488,26.21,NULL,"Feb3,2024"
489,26.3,NULL,"Feb10,2024"
490,26.6,NULL,"Jan26,2024"
491,26.69,NULL,"Jan12,2024"
492,26.69,NULL,"Jan20,2024"
493,26.94,NULL,"Jan12,2024"
494,27.12,NULL,"Feb3,2024"
495,27.13,NULL,"Feb3,2024"
496,27.26,NULL,"Jan26,2024"
497,27.61,NULL,"Jan20,2024"
498,53.56,NULL,"Feb16,2024"
499,54.43,NULL,"Feb10,2024"
500,54.76,NULL,"Feb3,2024"
